Brand,Brand_Style,Neighbor_Rk,Neighbor_Idx,Neighbor_Dist
Coors Non-Alcoholic,Non-Alcoholic Lager,2,91,6.312093695583638
Coors Non-Alcoholic,Non-Alcoholic Lager,3,218,6.398490810946687
Coors Non-Alcoholic,Non-Alcoholic Lager,4,50,7.016407861139566
Coors Non-Alcoholic,Non-Alcoholic Lager,5,48,7.847858448274482
Coors Non-Alcoholic,Non-Alcoholic Lager,6,84,8.025243205570584
Crispin Blackberry Pear,Pear Cider,1,35,0
Crispin Blackberry Pear,Pear Cider,2,41,38.162111417289566
Crispin Blackberry Pear,Pear Cider,3,42,38.5646706976042
Crispin Blackberry Pear,Pear Cider,4,18,38.77905528917991
Crispin Blackberry Pear,Pear Cider,5,170,38.78398601815195
Crispin Blackberry Pear,Pear Cider,6,178,38.79355124665775
Crispin Browns Lane,English-Style Cider,1,36,0
Crispin Browns Lane,English-Style Cider,2,18,18.294414874452592
Crispin Browns Lane,English-Style Cider,3,170,18.309637259969268
Crispin Browns Lane,English-Style Cider,4,178,18.327500659948107
Crispin Browns Lane,English-Style Cider,5,211,18.336535310199746
Crispin Browns Lane,English-Style Cider,6,174,18.33819775336662
Crispin Brut,Apple Cider,1,37,0
Crispin Brut,Apple Cider,2,39,0.5445884786710166
Crispin Brut,Apple Cider,3,111,14.626645878331054
Crispin Brut,Apple Cider,4,110,14.626645878331054
Crispin Brut,Apple Cider,5,112,14.626645878331054
Crispin Brut,Apple Cider,6,18,14.648193495406689
Crispin Honey Crisp,Apple Cider,1,38,0
Crispin Honey Crisp,Apple Cider,2,37,17.256130257477857
Crispin Honey Crisp,Apple Cider,3,39,17.26152659106442
Crispin Honey Crisp,Apple Cider,4,18,19.07278535444996
Crispin Honey Crisp,Apple Cider,5,170,19.100263599376582
Crispin Honey Crisp,Apple Cider,6,174,19.118867680757294
Crispin Original Cider,Apple Cider,1,39,0
Crispin Original Cider,Apple Cider,2,37,0.5445884786710166
Crispin Original Cider,Apple Cider,3,111,14.671031275611806
Crispin Original Cider,Apple Cider,4,110,14.671031275611806
Crispin Original Cider,Apple Cider,5,112,14.671031275611806
Crispin Original Cider,Apple Cider,6,18,14.679295487999264
Crispin Pacific Pear,Pear Cider,1,40,0
Crispin Pacific Pear,Pear Cider,2,39,23.486147786144347
Crispin Pacific Pear,Pear Cider,3,37,23.50475522086421
Crispin Pacific Pear,Pear Cider,4,18,23.523160858260482
Crispin Pacific Pear,Pear Cider,5,170,23.528007326172514
Crispin Pacific Pear,Pear Cider,6,111,23.536818936963012
Crispin Pearsecco,Pear Cider,1,41,0
Crispin Pearsecco,Pear Cider,2,42,5.772484690345608
Crispin Pearsecco,Pear Cider,3,211,17.130944189032057
Crispin Pearsecco,Pear Cider,4,170,17.13732823452622
Crispin Pearsecco,Pear Cider,5,178,17.138907177396
Crispin Pearsecco,Pear Cider,6,18,17.143688884982858
Crispin Rose,Hard Cider,1,42,0
Crispin Rose,Hard Cider,2,41,5.772484690345608
Crispin Rose,Hard Cider,3,37,16.75103123653813
Crispin Rose,Hard Cider,4,39,16.753588598713744
Crispin Rose,Hard Cider,5,18,18.050621609657135
Crispin Rose,Hard Cider,6,170,18.0553650542191
Crispin The Saint,Apple Cider,1,43,0
Crispin The Saint,Apple Cider,2,39,15.341343146009889
Crispin The Saint,Apple Cider,3,37,15.346614306613079
Crispin The Saint,Apple Cider,4,18,20.76867595306263
Crispin The Saint,Apple Cider,5,170,20.803112877657494
Crispin The Saint,Apple Cider,6,174,20.8173524087832
Cristal,International Pale Lager,1,44,0
Cristal,International Pale Lager,2,45,14.929376581084327
Cristal,International Pale Lager,3,70,15.058609551358819
Cristal,International Pale Lager,4,46,15.146195762958758
Cristal,International Pale Lager,5,155,15.509471167465222
Cristal,International Pale Lager,6,79,15.723299754909032
Cusquena,International Pale Lager,1,45,0
Cusquena,International Pale Lager,2,70,1.579311316539292
Cusquena,International Pale Lager,3,46,2.211900490380166
Cusquena,International Pale Lager,4,155,4.351777480980854
Cusquena,International Pale Lager,5,79,4.72485098220469
Cusquena,International Pale Lager,6,71,5.2996776093643145
Cusquena Dark,International Dark Lager,1,46,0
Cusquena Dark,International Dark Lager,2,70,1.5977916849580784
Cusquena Dark,International Dark Lager,3,45,2.211900490380166
Cusquena Dark,International Dark Lager,4,155,4.626747969296961
Cusquena Dark,International Dark Lager,5,79,4.908831532023758
